Timestamp UTC;Timestamp;Value;Source;Measurement;Unit
2024-11-21 16.45.00;2024-11-21 23.45.00;151849,2031;APF.P1;Voltage L-L Avg High;V
2024-11-21 16.45.00;2024-11-21 23.45.00;151448,375;APF.P1;Voltage L-L Avg Low;V
2024-11-21 16.45.00;2024-11-21 23.45.00;151676,4844;APF.P1;Voltage L-L Avg Mean;V
2024-11-21 17.00.00;2024-11-22 00.00.00;152153,1094;APF.P1;Voltage L-L Avg High;V
2024-11-21 17.00.00;2024-11-22 00.00.00;151684,7031;APF.P1;Voltage L-L Avg Low;V
2024-11-21 17.00.00;2024-11-22 00.00.00;151888,7813;APF.P1;Voltage L-L Avg Mean;V
2024-11-21 17.15.00;2024-11-22 00.15.00;152194,5469;APF.P1;Voltage L-L Avg High;V
2024-11-21 17.15.00;2024-11-22 00.15.00;151859,2813;APF.P1;Voltage L-L Avg Low;V
2024-11-21 17.15.00;2024-11-22 00.15.00;152031,4844;APF.P1;Voltage L-L Avg Mean;V
2024-11-21 17.30.00;2024-11-22 00.30.00;152217,25;APF.P1;Voltage L-L Avg High;V
2024-11-21 17.30.00;2024-11-22 00.30.00;151845,3438;APF.P1;Voltage L-L Avg Low;V
2024-11-21 17.30.00;2024-11-22 00.30.00;152083,8594;APF.P1;Voltage L-L Avg Mean;V
2024-11-21 17.45.00;2024-11-22 00.45.00;152362,9219;APF.P1;Voltage L-L Avg High;V
2024-11-21 17.45.00;2024-11-22 00.45.00;152085,7188;APF.P1;Voltage L-L Avg Low;V
2024-11-21 17.45.00;2024-11-22 00.45.00;152229,6719;APF.P1;Voltage L-L Avg Mean;V
2024-11-21 18.00.00;2024-11-22 01.00.00;152459,9688;APF.P1;Voltage L-L Avg High;V
2024-11-21 18.00.00;2024-11-22 01.00.00;152087,4063;APF.P1;Voltage L-L Avg Low;V
2024-11-21 18.00.00;2024-11-22 01.00.00;152283,5938;APF.P1;Voltage L-L Avg Mean;V
2024-11-21 18.15.00;2024-11-22 01.15.00;152459,2813;APF.P1;Voltage L-L Avg High;V
2024-11-21 18.15.00;2024-11-22 01.15.00;151982,375;APF.P1;Voltage L-L Avg Low;V
2024-11-21 18.15.00;2024-11-22 01.15.00;152247,6094;APF.P1;Voltage L-L Avg Mean;V
2024-11-21 18.30.00;2024-11-22 01.30.00;152369,2031;APF.P1;Voltage L-L Avg High;V
2024-11-21 18.30.00;2024-11-22 01.30.00;152031,8906;APF.P1;Voltage L-L Avg Low;V
2024-11-21 18.30.00;2024-11-22 01.30.00;152204,8281;APF.P1;Voltage L-L Avg Mean;V
2024-11-21 18.45.00;2024-11-22 01.45.00;152362,9375;APF.P1;Voltage L-L Avg High;V
2024-11-21 18.45.00;2024-11-22 01.45.00;152076,6719;APF.P1;Voltage L-L Avg Low;V
2024-11-21 18.45.00;2024-11-22 01.45.00;152224,4219;APF.P1;Voltage L-L Avg Mean;V
