"Timestamp UTC";"Timestamp";"Value";"Source";"Measurement";"Unit"
2024-11-20 13.45.00;2024-11-20 20.45.00;151978,390625;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-20 13.45.00;2024-11-20 20.45.00;151556,09375;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-20 13.45.00;2024-11-20 20.45.00;151806,96875;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-20 14.00.00;2024-11-20 21.00.00;152042,5;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-20 14.00.00;2024-11-20 21.00.00;151407,1875;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-20 14.00.00;2024-11-20 21.00.00;151719,203125;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-20 14.15.00;2024-11-20 21.15.00;152019,546875;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-20 14.15.00;2024-11-20 21.15.00;151523,546875;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-20 14.15.00;2024-11-20 21.15.00;151755,484375;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-20 14.30.00;2024-11-20 21.30.00;152093,359375;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-20 14.30.00;2024-11-20 21.30.00;151625,765625;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-20 14.30.00;2024-11-20 21.30.00;151830,6875;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-20 14.45.00;2024-11-20 21.45.00;152276,984375;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-20 14.45.00;2024-11-20 21.45.00;151830,25;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-20 14.45.00;2024-11-20 21.45.00;152030,6875;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-20 15.00.00;2024-11-20 22.00.00;152335,640625;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-20 15.00.00;2024-11-20 22.00.00;151966,546875;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-20 15.00.00;2024-11-20 22.00.00;152149,5625;"APF.P1";"Voltage L-L Avg Mean";"V"
